municipio,departamento,lat,lon
Dolores,Tolima,3.5380555555556,-74.895
Don Matias,Antioquia,6.4858333333333,-75.395277777778
Dosquebradas,Risaralda,4.8361111111111,-75.676111111111
Duitama,Boyaca,5.8219444444444,-73.029722222222
Durania,Norte De Santander,7.7138888888889,-72.656388888889
Ebejico,Antioquia,6.3263888888889,-75.766111111111
El Aguila,Valle,4.9080555555556,-76.042222222222
El Bagre,Antioquia,7.6047222222222,-74.808611111111
El Banco,Magdalena,9.0008333333333,-73.974444444444
El Cairo,Valle,4.7608333333333,-76.2225
El Calvario,Meta,4.3516666666667,-73.713333333333
El Canton de San Pablo,Choco,5.3636111111111,-76.690277777778
El Carmen,Norte De Santander,8.5127805555556,-73.4508
El Carmen,Santander,6.6980611111111,-73.5111
El Carmen,Choco,5.8983333333333,-76.143055555556
El Carmen de Bolivar,Bolivar,9.7183333333333,-75.1225
El Castillo,Meta,3.5647222222222,-73.794444444444
El Cerrito,Valle,3.6838888888889,-76.311111111111
El Charco,Nariño,2.4775,-78.111111111111
El Cocuy,Boyaca,6.4094444444444,-72.444444444444
El Colegio,Cundinamarca,4.5808333333333,-74.4425
El Copey,Cesar,10.148888888889,-73.96
El Doncello,Caqueta,1.68,-75.285
El Dorado,Meta,3.7391666666667,-73.835277777778
El Dovio,Valle,4.5088888888889,-76.236944444444
El Encanto,Amazonas,-1.7477777777778,-73.208611111111
El Espino,Boyaca,6.4825,-72.496666666667
El Guacamayo,Santander,6.2452777777778,-73.496666666667
El Guamo,Bolivar,4.0263888888889,-74.960555555556
El Litoral Del San Juan,Choco,4.2586111111111,-77.3675
El Molino,La Guajira,10.653055555556,-72.925555555556
El Paso,Cesar,9.6622194444444,-73.7519
El Paujil,Caqueta,1.5694444444444,-75.326388888889
El Peñol,Nariño,1.4536111111111,-77.439722222222
El Peñon,Bolivar,8.9883333333333,-73.949444444444
El Peñon,Cundinamarca,5.2488888888889,-74.290833333333
El Peñon,Santander,6.0541666666667,-73.815555555556
El Piñon,Magdalena,10.403888888889,-74.823055555556
El Playon,Santander,7.4702777777778,-73.203333333333
El Reten,Magdalena,10.610555555556,-74.268333333333
El Retorno,Guaviare,2.3305611111111,-72.6278
El Roble,Sucre,9.1022222222222,-75.195
El Rosal,Cundinamarca,4.8519444444444,-74.262777777778
El Rosario,Nariño,1.7430555555556,-77.334722222222
El Tablon,Nariño,1.4269444444444,-77.096944444444
El Tambo,Cauca,2.4513888888889,-76.810833333333
El Tambo,Nariño,1.4097222222222,-77.392777777778
El Tarra,Norte De Santander,8.5755555555556,-73.094444444444
El Zulia,Norte De Santander,7.9325,-72.6025
Elias,Huila,2.0136111111111,-75.939722222222
Encino,Santander,6.1377777777778,-73.098055555556
Enciso,Santander,6.6680555555556,-72.7
Entrerrios,Antioquia,6.5652777777778,-75.514166666667
Envigado,Antioquia,6.1719444444444,-75.580277777778
Espinal,Tolima,4.1486111111111,-74.881944444444
Facatativa,Cundinamarca,4.8147222222222,-74.355277777778
Falan,Tolima,5.1236111111111,-74.951666666667
Filadelfia,Caldas,5.2961111111111,-75.561666666667
Filandia,Quindio,4.6733333333333,-75.658333333333
Firavitoba,Boyaca,5.6694444444444,-72.992777777778
Flandes,Tolima,4.2844444444444,-74.814166666667
Florencia,Caqueta,1.6141666666667,-75.611666666667
Florencia,Cauca,1.6822222222222,-77.072222222222
Floresta,Boyaca,5.8594444444444,-72.918611111111
Florian,Santander,5.8027777777778,-73.971388888889
Florida,Valle,3.3216666666667,-76.234722222222
Floridablanca,Santander,7.0697222222222,-73.097777777778
Fomeque,Cundinamarca,4.4847222222222,-73.893611111111
Fonseca,La Guajira,10.885833333333,-72.848055555556
Fortul,Arauca,6.7930555555556,-71.771388888889
Fosca,Cundinamarca,4.3383333333333,-73.939166666667
Francisco Pizarro,Nariño,2.0402777777778,-78.657777777778
Fredonia,Antioquia,5.9266666666667,-75.673888888889
Fresno,Tolima,5.1536111111111,-75.036944444444
Frontino,Antioquia,6.7786111111111,-76.131388888889
Fuente de Oro,Meta,3.4625,-73.619166666667
Fundacion,Magdalena,10.517222222222,-74.192222222222
Funes,Nariño,1,-77.448888888889
Funza,Cundinamarca,4.7175,-74.209444444444
Fuquene,Cundinamarca,5.405,-73.795833333333
Fusagasuga,Cundinamarca,4.3372222222222,-74.364444444444
Gachala,Cundinamarca,4.6930555555556,-73.52
Gachancipa,Cundinamarca,4.9908333333333,-73.873055555556
Gachantiva,Boyaca,5.7508333333333,-73.549444444444
Gacheta,Cundinamarca,4.8163888888889,-73.636111111111
Galan,Santander,6.6377777777778,-73.287777777778
Galapa,Atlantico,10.900277777778,-74.885277777778
Galeras,Sucre,9.1586111111111,-75.048888888889
Gama,Cundinamarca,4.7627777777778,-73.610833333333
Gamarra,Cesar,8.3208333333333,-73.743333333333
Gambita,Santander,5.9463888888889,-73.343888888889
Gameza,Boyaca,5.8027777777778,-72.805
Garagoa,Boyaca,5.0822222222222,-73.363888888889
Garzon,Huila,2.1961111111111,-75.629166666667
Genova,Quindio,4.2075,-75.79
Gigante,Huila,2.3866694444444,-75.5461
Ginebra,Valle,3.7244444444444,-76.267222222222
Giraldo,Antioquia,6.6805555555556,-75.952777777778
Girardot,Cundinamarca,4.3036111111111,-74.803888888889
Girardota,Antioquia,6.3769444444444,-75.446111111111
Giron,Santander,7.0730555555556,-73.168055555556
Gomez Plata,Antioquia,6.6816666666667,-75.218055555556
Gonzalez,Cesar,8.3902777777778,-73.381111111111
Gramalote,Norte De Santander,7.8880555555556,-72.796666666667
Granada,Antioquia,6.1441666666667,-75.185277777778
Granada,Cundinamarca,4.5186111111111,-74.351388888889
Granada,Meta,3.5472222222222,-73.708611111111
Guaca,Santander,6.8769444444444,-72.855555555556
Guacamayas,Boyaca,6.4594444444444,-72.500555555556
Guacari,Valle,3.7647222222222,-76.332222222222
Guachene,Cauca,3.1336111111111,-76.3925
Guacheta,Cundinamarca,5.3855555555556,-73.685555555556
Guachucal,Nariño,0.96027777777778,-77.731944444444
Guadalupe,Antioquia,6.8138888888889,-75.240833333333
Guadalupe,Huila,2.025,-75.756388888889
Guadalupe,Santander,6.247,-73.418
Guaduas,Cundinamarca,5.069444,-74.598056
Guaitarilla,Nariño,1.1297222222222,-77.548611111111
Gualmatan,Nariño,0.91916666666667,-77.5661
Guamal,Magdalena,9.1441666666667,-74.223611111111
Guamal,Meta,3.8777777777778,-73.768611111111
Guamo,Tolima,4.0280555555556,-74.97
Guapi,Cauca,2.5697222222222,-77.886111111111
Guapota,Santander,6.3125,-73.321944444444
Guaranda,Sucre,8.4672222222222,-74.536666666667
Guarne,Antioquia,6.2791666666667,-75.441944444444
Guasca,Cundinamarca,4.8658333333333,-73.877222222222
Guatape,Antioquia,6.2325,-75.158611111111
Guataqui,Cundinamarca,4.5169444444444,-74.790555555556
Guatavita,Cundinamarca,4.9344444444444,-73.834444444444
Guateque,Boyaca,5.0058333333333,-73.473055555556
Guatica,Risaralda,5.3163888888889,-75.798333333333
Guavata,Santander,5.9544444444444,-73.700833333333
Guayabal de Siquima,Cundinamarca,4.8772222222222,-74.466944444444
Guayabetal,Cundinamarca,4.2152777777778,-73.814444444444
Guayata,Boyaca,4.9661111111111,-73.489166666667
Guepsa,Santander,6.0244444444444,-73.5725
Guican,Boyaca,6.4625,-72.411944444444
Gutierrez,Cundinamarca,4.2541666666667,-74.003055555556
Hacari,Norte De Santander,8.3213888888889,-73.145555555556
Hatillo de Loba,Bolivar,8.9555555555556,-74.076944444444
Hato,Santander,6.5419444444444,-73.3075
Hato Corozal,Casanare,6.1547222222222,-71.765277777778
Hatonuevo,La Guajira,11.067222222222,-72.763055555556
Heliconia,Antioquia,6.2105555555556,-75.73
Herran,Norte De Santander,7.5061111111111,-72.482777777778
Herveo,Tolima,5.0805555555556,-75.175555555556
Hispania,Antioquia,5.803,-75.912
Hobo,Huila,2.5825,-75.451111111111
Honda,Tolima,5.2069444444444,-74.736666666667
Ibague,Tolima,4.4377777777778,-75.200555555556
Icononzo,Tolima,4.1758333333333,-74.532777777778
Iles,Nariño,0.97055555555556,-77.520833333333
Imues,Nariño,1.055,-77.496944444444
Inirida,Guainia,3.8708333333333,-67.921111111111
Inza,Cauca,2.5502777777778,-76.063611111111
Ipiales,Nariño,0.82888888888889,-77.640555555556
Iquira,Huila,2.6483333333333,-75.636388888889
Isnos,Huila,1.9288888888889,-76.215833333333
Istmina,Choco,5.1633333333333,-76.686666666667
Itagui,Antioquia,6.166667,-75.616667
Ituango,Antioquia,7.1711111111111,-75.763611111111
Iza,Boyaca,5.6125,-72.978611111111
Jambalo,Cauca,2.7763888888889,-76.323888888889
Jamundi,Valle,3.2608333333333,-76.539444444444
Jardin,Antioquia,5.5983333333333,-75.819722222222
Jenesano,Boyaca,5.385,-73.363611111111
Jerico,Antioquia,5.7911111111111,-75.785833333333
Jerico,Boyaca,6.1458333333333,-72.570833333333
Jerusalen,Cundinamarca,4.5630555555556,-74.695277777778
Jesus Maria,Santander,5.8761111111111,-73.7825
Jordan,Santander,6.7325,-73.096944444444
Juan de Acosta,Atlantico,10.828611111111,-75.035
Junin,Cundinamarca,4.7902777777778,-73.663333333333
Jurado,Choco,7.1113888888889,-77.7714
La Apartada y La Frontera,Cordoba,8.05,-75.335555555556
La Argentina,Huila,2.1975,-75.98
La Belleza,Santander,5.8575,-73.965555555556
La Calera,Cundinamarca,4.7197222222222,-73.97
La Capilla,Boyaca,5.0955555555556,-73.443611111111
La Ceja,Antioquia,6.0277777777778,-75.431111111111
La Celia,Risaralda,5.0019444444444,-76.003888888889
La Chorrera,Amazonas,-1.4527777777778,-72.7975
La Cruz,Nariño,1.6013888888889,-76.970555555556
La Cumbre,Valle,3.6496305555556,-76.568355555556
La Dorada,Caldas,5.4538388888889,-74.664675
La Esperanza,Norte De Santander,7.64,-73.326944444444
La Estrella,Antioquia,6.1561111111111,-75.641388888889
La Florida,Nariño,1.2997222222222,-77.406944444444
La Gloria,Cesar,8.6186111111111,-73.8025
La Guadalupe,Guainia,1.2461111111111,-66.865833333333
La Jagua de Ibirico,Cesar,9.5611111111111,-73.336388888889
La Jagua del Pilar,La Guajira,10.51,-73.071388888889
La Llanada,Nariño,1.4736111111111,-77.58
La Macarena,Meta,2.1827777777778,-73.784722222222
La Merced,Caldas,5.3994444444444,-75.546944444444
La Mesa,Cundinamarca,4.6302777777778,-74.4625
La Montañita,Caqueta,1.4791666666667,-75.436111111111
La Palma,Cundinamarca,5.3605555555556,-74.389722222222
La Paz,Cesar,10.385277777778,-73.171944444444
La Paz,Santander,6.1780555555556,-73.589444444444
La Pedrera,Amazonas,-1.3286111111111,-69.579722222222
La Peña,Cundinamarca,5.1991666666667,-74.393611111111
La Pintada,Antioquia,5.7419444444444,-75.605277777778
La Plata,Huila,2.39,-75.891944444444
La Playa,Norte De Santander,8.2130555555556,-73.238055555556
La Primavera,Vichada,5.4905555555556,-70.409166666667
La Salina,Casanare,6.1275,-72.334166666667
La Sierra,Cauca,2.1775,-76.764166666667
La Tebaida,Quindio,4.4522222222222,-75.786666666667
La Tola,Nariño,2.3988888888889,-78.189722222222
La Union,Antioquia,5.9727777777778,-75.361111111111
La Union,Nariño,1.6052777777778,-77.129722222222
La Union,Sucre,8.8572222222222,-75.276666666667
La Union,Valle,4.5330555555556,-76.100555555556
La Uvita,Boyaca,6.3161111111111,-72.56
La Vega,Cauca,2.0008333333333,-76.777777777778
La Vega,Cundinamarca,4.9991666666667,-74.341111111111
La Victoria,Amazonas,0.051388888888889,-71.222777777778
La Victoria,Boyaca,5.5227805555556,-74.2328
La Victoria,Valle,4.5213888888889,-76.036388888889
La Virginia,Risaralda,4.8966666666667,-75.883888888889
Labateca,Norte De Santander,7.2980555555556,-72.495
Labranzagrande,Boyaca,5.5633333333333,-72.5775
Landazuri,Santander,6.2180555555556,-73.811388888889
Lebrija,Santander,7.1130555555556,-73.218888888889
Leiva,Nariño,1.9338888888889,-77.305277777778
Lejanias,Meta,3.526806,-74.023222
Lenguazaque,Cundinamarca,5.3069444444444,-73.711666666667
Lerida,Tolima,4.86,-74.913055555556
Leticia,Amazonas,-4.215,-69.941111111111
Libano,Tolima,4.9205555555556,-75.061111111111
Liborina,Antioquia,6.6780555555556,-75.812222222222
Linares,Nariño,1.3502777777778,-77.523055555556
Lloro,Choco,5.4983333333333,-76.541388888889
Lopez (Micay),Cauca,2.8463888888889,-77.247222222222
Lorica,Cordoba,9.2386111111111,-75.813888888889
Los Andes,Nariño,1.4933333333333,-77.521388888889
Los Cordobas,Cordoba,8.8952777777778,-76.354722222222
Los Palmitos,Sucre,9.3802777777778,-75.268333333333
